speed pavillonsNetwork.node[0].veinsmobility (#0 - Default-0-20230508-00:03:16-2256),
2,2.273799295723399887
3,3.989054751233199515
4,6.529130183835500005
5,8.711864777724297635
6,4.211864777724299442
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1.993503084196699852
37,4.2282009349204994
38,6.21575281624680006
39,7.789611837011799235
40,9.39086044579740072
41,11.05290961374999976
42,9.217064439642697905
43,4.717064439642699705
44,3.587621356251499782
45,3.642495301047199862
46,5.8594307947745001
47,7.79770523487390039
48,9.43591195401539901
49,11.01257678841500005
50,12.31718434948299995
51,14.30091779391099743
52,16.48966672544599981
53,18.28532821513499578
54,19.89023052883099745
55,22.39102975030699828
56,22.68207191546999715
57,24.58184951063199707
